period,scenario,brand,market,business_unit,metric,value,unit,provenance
2026-03,actual,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,153.429740,RMB millions,synthetic_allocation
2026-03,actual,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,91.960000,RMB per transaction,synthetic_allocation
2026-03,actual,MINISO,mainland,MINISO - Chinese Mainland,volume,11.698951,million transactions,calculated
2026-04,actual,MINISO,mainland,MINISO - Chinese Mainland,revenue,1075.835500,RMB millions,synthetic_allocation
2026-04,actual,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,476.563583,RMB millions,synthetic_allocation
2026-04,actual,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,599.271917,RMB millions,synthetic_allocation
2026-04,actual,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,323.133843,RMB millions,synthetic_allocation
2026-04,actual,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,153.429740,RMB millions,synthetic_allocation
2026-04,actual,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,91.960000,RMB per transaction,synthetic_allocation
2026-04,actual,MINISO,mainland,MINISO - Chinese Mainland,volume,11.698951,million transactions,calculated
2026-05,actual,MINISO,mainland,MINISO - Chinese Mainland,revenue,1143.075219,RMB millions,synthetic_allocation
2026-05,actual,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,506.348807,RMB millions,synthetic_allocation
2026-05,actual,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,636.726411,RMB millions,synthetic_allocation
2026-05,actual,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,343.329708,RMB millions,synthetic_allocation
2026-05,actual,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,163.019099,RMB millions,synthetic_allocation
2026-05,actual,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,91.960000,RMB per transaction,synthetic_allocation
2026-05,actual,MINISO,mainland,MINISO - Chinese Mainland,volume,12.430135,million transactions,calculated
2026-06,actual,MINISO,mainland,MINISO - Chinese Mainland,revenue,1277.554656,RMB millions,synthetic_allocation
2026-06,actual,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,565.919255,RMB millions,synthetic_allocation
2026-06,actual,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,711.635401,RMB millions,synthetic_allocation
2026-06,actual,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,383.721439,RMB millions,synthetic_allocation
2026-06,actual,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,182.197817,RMB millions,synthetic_allocation
2026-06,actual,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,91.960000,RMB per transaction,synthetic_allocation
2026-06,actual,MINISO,mainland,MINISO - Chinese Mainland,volume,13.892504,million transactions,calculated
2026-01,budget,MINISO,mainland,MINISO - Chinese Mainland,revenue,964.601768,RMB millions,synthetic_plan
2026-01,budget,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,419.601769,RMB millions,synthetic_plan
2026-01,budget,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,544.999999,RMB millions,synthetic_plan
2026-01,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,284.557521,RMB millions,synthetic_plan
2026-01,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,135.044247,RMB millions,synthetic_plan
2026-01,budget,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,95.000000,RMB per transaction,synthetic_plan
2026-01,budget,MINISO,mainland,MINISO - Chinese Mainland,volume,10.153703,million transactions,calculated
2026-02,budget,MINISO,mainland,MINISO - Chinese Mainland,revenue,835.988199,RMB millions,synthetic_plan
2026-02,budget,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,363.654866,RMB millions,synthetic_plan
2026-02,budget,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,472.333332,RMB millions,synthetic_plan
2026-02,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,246.616519,RMB millions,synthetic_plan
2026-02,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,117.038348,RMB millions,synthetic_plan
2026-02,budget,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,95.000000,RMB per transaction,synthetic_plan
2026-02,budget,MINISO,mainland,MINISO - Chinese Mainland,volume,8.799876,million transactions,calculated
2026-03,budget,MINISO,mainland,MINISO - Chinese Mainland,revenue,1028.908552,RMB millions,synthetic_plan
2026-03,budget,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,447.575220,RMB millions,synthetic_plan
2026-03,budget,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,581.333332,RMB millions,synthetic_plan
2026-03,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,303.528023,RMB millions,synthetic_plan
2026-03,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,144.047197,RMB millions,synthetic_plan
2026-03,budget,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,95.000000,RMB per transaction,synthetic_plan
2026-03,budget,MINISO,mainland,MINISO - Chinese Mainland,volume,10.830616,million transactions,calculated
2026-04,budget,MINISO,mainland,MINISO - Chinese Mainland,revenue,1028.908552,RMB millions,synthetic_plan
2026-04,budget,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,447.575220,RMB millions,synthetic_plan
2026-04,budget,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,581.333332,RMB millions,synthetic_plan
2026-04,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,303.528023,RMB millions,synthetic_plan
2026-04,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,144.047197,RMB millions,synthetic_plan
2026-04,budget,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,95.000000,RMB per transaction,synthetic_plan
2026-04,budget,MINISO,mainland,MINISO - Chinese Mainland,volume,10.830616,million transactions,calculated
2026-05,budget,MINISO,mainland,MINISO - Chinese Mainland,revenue,1093.215337,RMB millions,synthetic_plan
2026-05,budget,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,475.548671,RMB millions,synthetic_plan
2026-05,budget,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,617.666665,RMB millions,synthetic_plan
2026-05,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,322.498524,RMB millions,synthetic_plan
2026-05,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,153.050147,RMB millions,synthetic_plan
2026-05,budget,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,95.000000,RMB per transaction,synthetic_plan
2026-05,budget,MINISO,mainland,MINISO - Chinese Mainland,volume,11.507530,million transactions,calculated
2026-06,budget,MINISO,mainland,MINISO - Chinese Mainland,revenue,1221.828906,RMB millions,synthetic_plan
2026-06,budget,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,531.495574,RMB millions,synthetic_plan
2026-06,budget,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,690.333332,RMB millions,synthetic_plan
2026-06,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,360.439527,RMB millions,synthetic_plan
2026-06,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,171.056047,RMB millions,synthetic_plan
2026-06,budget,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,95.000000,RMB per transaction,synthetic_plan
2026-06,budget,MINISO,mainland,MINISO - Chinese Mainland,volume,12.861357,million transactions,calculated
2026-07,budget,MINISO,mainland,MINISO - Chinese Mainland,revenue,1028.908552,RMB millions,synthetic_plan
2026-07,budget,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,447.575220,RMB millions,synthetic_plan
2026-07,budget,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,581.333332,RMB millions,synthetic_plan
2026-07,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,303.528023,RMB millions,synthetic_plan
2026-07,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,144.047197,RMB millions,synthetic_plan
2026-07,budget,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,95.000000,RMB per transaction,synthetic_plan
2026-07,budget,MINISO,mainland,MINISO - Chinese Mainland,volume,10.830616,million transactions,calculated
2026-08,budget,MINISO,mainland,MINISO - Chinese Mainland,revenue,1028.908552,RMB millions,synthetic_plan
2026-08,budget,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,447.575220,RMB millions,synthetic_plan
2026-08,budget,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,581.333332,RMB millions,synthetic_plan
2026-08,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,303.528023,RMB millions,synthetic_plan
2026-08,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,144.047197,RMB millions,synthetic_plan
2026-08,budget,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,95.000000,RMB per transaction,synthetic_plan
2026-08,budget,MINISO,mainland,MINISO - Chinese Mainland,volume,10.830616,million transactions,calculated
2026-09,budget,MINISO,mainland,MINISO - Chinese Mainland,revenue,1221.828906,RMB millions,synthetic_plan
2026-09,budget,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,531.495574,RMB millions,synthetic_plan
2026-09,budget,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,690.333332,RMB millions,synthetic_plan
2026-09,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,360.439527,RMB millions,synthetic_plan
2026-09,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,171.056047,RMB millions,synthetic_plan
2026-09,budget,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,95.000000,RMB per transaction,synthetic_plan
2026-09,budget,MINISO,mainland,MINISO - Chinese Mainland,volume,12.861357,million transactions,calculated
2026-10,budget,MINISO,mainland,MINISO - Chinese Mainland,revenue,1028.908552,RMB millions,synthetic_plan
2026-10,budget,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,447.575220,RMB millions,synthetic_plan
2026-10,budget,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,581.333332,RMB millions,synthetic_plan
2026-10,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,303.528023,RMB millions,synthetic_plan
2026-10,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,144.047197,RMB millions,synthetic_plan
2026-10,budget,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,95.000000,RMB per transaction,synthetic_plan
2026-10,budget,MINISO,mainland,MINISO - Chinese Mainland,volume,10.830616,million transactions,calculated
2026-11,budget,MINISO,mainland,MINISO - Chinese Mainland,revenue,1093.215337,RMB millions,synthetic_plan
2026-11,budget,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,475.548671,RMB millions,synthetic_plan
2026-11,budget,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,617.666665,RMB millions,synthetic_plan
2026-11,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,322.498524,RMB millions,synthetic_plan
2026-11,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,153.050147,RMB millions,synthetic_plan
2026-11,budget,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,95.000000,RMB per transaction,synthetic_plan
2026-11,budget,MINISO,mainland,MINISO - Chinese Mainland,volume,11.507530,million transactions,calculated
2026-12,budget,MINISO,mainland,MINISO - Chinese Mainland,revenue,1286.135690,RMB millions,synthetic_plan
2026-12,budget,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,559.469025,RMB millions,synthetic_plan
2026-12,budget,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,726.666665,RMB millions,synthetic_plan
2026-12,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,379.410029,RMB millions,synthetic_plan
2026-12,budget,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,180.058997,RMB millions,synthetic_plan
2026-12,budget,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,95.000000,RMB per transaction,synthetic_plan
2026-12,budget,MINISO,mainland,MINISO - Chinese Mainland,volume,13.538270,million transactions,calculated
2026-01,forecast,MINISO,mainland,MINISO - Chinese Mainland,revenue,1008.595781,RMB millions,calculated
2026-01,forecast,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,446.778359,RMB millions,calculated
2026-01,forecast,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,561.817422,RMB millions,calculated
2026-01,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,302.937978,RMB millions,calculated
2026-01,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,143.840382,RMB millions,calculated
2026-01,forecast,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,91.960000,RMB per transaction,calculated
2026-01,forecast,MINISO,mainland,MINISO - Chinese Mainland,volume,10.967766,million transactions,calculated
2026-02,forecast,MINISO,mainland,MINISO - Chinese Mainland,revenue,874.116344,RMB millions,calculated
2026-02,forecast,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,387.207912,RMB millions,calculated
2026-02,forecast,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,486.908432,RMB millions,calculated
2026-02,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,262.546248,RMB millions,calculated
2026-02,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,124.661664,RMB millions,calculated
2026-02,forecast,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,91.960000,RMB per transaction,calculated
2026-02,forecast,MINISO,mainland,MINISO - Chinese Mainland,volume,9.505397,million transactions,calculated
2026-03,forecast,MINISO,mainland,MINISO - Chinese Mainland,revenue,1075.835500,RMB millions,calculated
2026-03,forecast,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,476.563583,RMB millions,calculated
2026-03,forecast,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,599.271917,RMB millions,calculated
2026-03,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,323.133843,RMB millions,calculated
2026-03,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,153.429740,RMB millions,calculated
2026-03,forecast,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,91.960000,RMB per transaction,calculated
2026-03,forecast,MINISO,mainland,MINISO - Chinese Mainland,volume,11.698951,million transactions,calculated
2026-04,forecast,MINISO,mainland,MINISO - Chinese Mainland,revenue,1075.835500,RMB millions,calculated
2026-04,forecast,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,476.563583,RMB millions,calculated
2026-04,forecast,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,599.271917,RMB millions,calculated
2026-04,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,323.133843,RMB millions,calculated
2026-04,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,153.429740,RMB millions,calculated
2026-04,forecast,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,91.960000,RMB per transaction,calculated
2026-04,forecast,MINISO,mainland,MINISO - Chinese Mainland,volume,11.698951,million transactions,calculated
2026-05,forecast,MINISO,mainland,MINISO - Chinese Mainland,revenue,1143.075219,RMB millions,calculated
2026-05,forecast,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,506.348807,RMB millions,calculated
2026-05,forecast,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,636.726411,RMB millions,calculated
2026-05,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,343.329708,RMB millions,calculated
2026-05,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,163.019099,RMB millions,calculated
2026-05,forecast,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,91.960000,RMB per transaction,calculated
2026-05,forecast,MINISO,mainland,MINISO - Chinese Mainland,volume,12.430135,million transactions,calculated
2026-06,forecast,MINISO,mainland,MINISO - Chinese Mainland,revenue,1277.554656,RMB millions,calculated
2026-06,forecast,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,565.919255,RMB millions,calculated
2026-06,forecast,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,711.635401,RMB millions,calculated
2026-06,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,383.721439,RMB millions,calculated
2026-06,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,182.197817,RMB millions,calculated
2026-06,forecast,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,91.960000,RMB per transaction,calculated
2026-06,forecast,MINISO,mainland,MINISO - Chinese Mainland,volume,13.892504,million transactions,calculated
2026-07,forecast,MINISO,mainland,MINISO - Chinese Mainland,revenue,1059.775809,RMB millions,synthetic_plan
2026-07,forecast,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,461.002477,RMB millions,synthetic_plan
2026-07,forecast,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,598.773332,RMB millions,synthetic_plan
2026-07,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,312.633864,RMB millions,synthetic_plan
2026-07,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,148.368613,RMB millions,synthetic_plan
2026-07,forecast,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,95.000000,RMB per transaction,synthetic_plan
2026-07,forecast,MINISO,mainland,MINISO - Chinese Mainland,volume,11.155535,million transactions,calculated
2026-08,forecast,MINISO,mainland,MINISO - Chinese Mainland,revenue,1059.775809,RMB millions,synthetic_plan
2026-08,forecast,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,461.002477,RMB millions,synthetic_plan
2026-08,forecast,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,598.773332,RMB millions,synthetic_plan
2026-08,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,312.633864,RMB millions,synthetic_plan
2026-08,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,148.368613,RMB millions,synthetic_plan
2026-08,forecast,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,95.000000,RMB per transaction,synthetic_plan
2026-08,forecast,MINISO,mainland,MINISO - Chinese Mainland,volume,11.155535,million transactions,calculated
2026-09,forecast,MINISO,mainland,MINISO - Chinese Mainland,revenue,1258.483773,RMB millions,synthetic_plan
2026-09,forecast,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,547.440441,RMB millions,synthetic_plan
2026-09,forecast,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,711.043332,RMB millions,synthetic_plan
2026-09,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,371.252713,RMB millions,synthetic_plan
2026-09,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,176.187728,RMB millions,synthetic_plan
2026-09,forecast,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,95.000000,RMB per transaction,synthetic_plan
2026-09,forecast,MINISO,mainland,MINISO - Chinese Mainland,volume,13.247198,million transactions,calculated
2026-10,forecast,MINISO,mainland,MINISO - Chinese Mainland,revenue,1059.775809,RMB millions,synthetic_plan
2026-10,forecast,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,461.002477,RMB millions,synthetic_plan
2026-10,forecast,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,598.773332,RMB millions,synthetic_plan
2026-10,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,312.633864,RMB millions,synthetic_plan
2026-10,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,148.368613,RMB millions,synthetic_plan
2026-10,forecast,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,95.000000,RMB per transaction,synthetic_plan
2026-10,forecast,MINISO,mainland,MINISO - Chinese Mainland,volume,11.155535,million transactions,calculated
2026-11,forecast,MINISO,mainland,MINISO - Chinese Mainland,revenue,1126.011797,RMB millions,synthetic_plan
2026-11,forecast,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,489.815132,RMB millions,synthetic_plan
2026-11,forecast,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,636.196665,RMB millions,synthetic_plan
2026-11,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,332.173480,RMB millions,synthetic_plan
2026-11,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,157.641652,RMB millions,synthetic_plan
2026-11,forecast,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,95.000000,RMB per transaction,synthetic_plan
2026-11,forecast,MINISO,mainland,MINISO - Chinese Mainland,volume,11.852756,million transactions,calculated
2026-12,forecast,MINISO,mainland,MINISO - Chinese Mainland,revenue,1324.719761,RMB millions,synthetic_plan
2026-12,forecast,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,576.253096,RMB millions,synthetic_plan
2026-12,forecast,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,748.466665,RMB millions,synthetic_plan
2026-12,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,390.792329,RMB millions,synthetic_plan
2026-12,forecast,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,185.460766,RMB millions,synthetic_plan
2026-12,forecast,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,95.000000,RMB per transaction,synthetic_plan
2026-12,forecast,MINISO,mainland,MINISO - Chinese Mainland,volume,13.944419,million transactions,calculated
2026-01,prior_year,MINISO,mainland,MINISO - Chinese Mainland,revenue,799.537031,RMB millions,synthetic_allocation
2026-01,prior_year,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,353.834797,RMB millions,synthetic_allocation
2026-01,prior_year,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,445.702234,RMB millions,synthetic_allocation
2026-01,prior_year,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,222.244385,RMB millions,synthetic_allocation
2026-01,prior_year,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,131.590412,RMB millions,synthetic_allocation
2026-01,prior_year,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,91.200000,RMB per transaction,synthetic_allocation
2026-01,prior_year,MINISO,mainland,MINISO - Chinese Mainland,volume,8.766853,million transactions,calculated
2026-02,prior_year,MINISO,mainland,MINISO - Chinese Mainland,revenue,692.932094,RMB millions,synthetic_allocation
2026-02,prior_year,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,306.656824,RMB millions,synthetic_allocation
2026-02,prior_year,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,386.275270,RMB millions,synthetic_allocation
2026-02,prior_year,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,192.611801,RMB millions,synthetic_allocation
2026-02,prior_year,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,114.045023,RMB millions,synthetic_allocation
2026-02,prior_year,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,91.200000,RMB per transaction,synthetic_allocation
2026-02,prior_year,MINISO,mainland,MINISO - Chinese Mainland,volume,7.597940,million transactions,calculated
2026-03,prior_year,MINISO,mainland,MINISO - Chinese Mainland,revenue,852.839500,RMB millions,synthetic_allocation
2026-03,prior_year,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,377.423783,RMB millions,synthetic_allocation
2026-03,prior_year,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,475.415717,RMB millions,synthetic_allocation
2026-03,prior_year,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,237.060678,RMB millions,synthetic_allocation
2026-03,prior_year,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,140.363106,RMB millions,synthetic_allocation
2026-03,prior_year,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,91.200000,RMB per transaction,synthetic_allocation
2026-03,prior_year,MINISO,mainland,MINISO - Chinese Mainland,volume,9.351310,million transactions,calculated
2026-04,prior_year,MINISO,mainland,MINISO - Chinese Mainland,revenue,852.839500,RMB millions,synthetic_allocation
2026-04,prior_year,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,377.423783,RMB millions,synthetic_allocation
2026-04,prior_year,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,475.415717,RMB millions,synthetic_allocation
2026-04,prior_year,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,237.060678,RMB millions,synthetic_allocation
2026-04,prior_year,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,140.363106,RMB millions,synthetic_allocation
2026-04,prior_year,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,91.200000,RMB per transaction,synthetic_allocation
2026-04,prior_year,MINISO,mainland,MINISO - Chinese Mainland,volume,9.351310,million transactions,calculated
2026-05,prior_year,MINISO,mainland,MINISO - Chinese Mainland,revenue,906.141969,RMB millions,synthetic_allocation
2026-05,prior_year,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,401.012770,RMB millions,synthetic_allocation
2026-05,prior_year,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,505.129199,RMB millions,synthetic_allocation
2026-05,prior_year,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,251.876970,RMB millions,synthetic_allocation
2026-05,prior_year,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,149.135800,RMB millions,synthetic_allocation
2026-05,prior_year,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,91.200000,RMB per transaction,synthetic_allocation
2026-05,prior_year,MINISO,mainland,MINISO - Chinese Mainland,volume,9.935767,million transactions,calculated
2026-06,prior_year,MINISO,mainland,MINISO - Chinese Mainland,revenue,1012.746906,RMB millions,synthetic_allocation
2026-06,prior_year,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,448.190743,RMB millions,synthetic_allocation
2026-06,prior_year,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,564.556163,RMB millions,synthetic_allocation
2026-06,prior_year,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,281.509555,RMB millions,synthetic_allocation
2026-06,prior_year,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,166.681188,RMB millions,synthetic_allocation
